Qty;Value;Device;Package;Parts;Description;MPN;PACKAGE
1;;10-XX;B3F-10XX;S11;OMRON SWITCH;B3F-1000;
9;;JP1E;JP1;JP31, JP111, JP112, JP121, JP122, JP131, JP132, JP141, JP142;JUMPER;;
2;;MPT4;4POL254;X301, X302;PHOENIX CONNECTOR;;
4;10;R-EU_R0805;R0805;R113, R123, R133, R143;RESISTOR, European symbol;;R0805
4;100;TRIM_EU-S64Y;S64Y;R114, R124, R134, R144;POTENTIOMETER;;S64Y
4;100k;R-EU_R0603;R0603;R93, R94, R102, R103;RESISTOR, European symbol;;R0603
22;100n/50V;C-EUC0603;C0603;C21, C23, C31, C33, C35, C36, C101, C103, C112, C116, C118, C122, C126, C128, C132, C136, C138, C142, C146, C148, C151, C153;CAPACITOR, European symbol;;C0603
4;10R;R-EU_R0603;R0603;R112, R122, R132, R142;RESISTOR, European symbol;;R0603
10;10k;R-EU_R0603;R0603;R21, R32, R35, R108, R152, R158, R301, R302, R303, R304;RESISTOR, European symbol;;R0603
1;10k;TRIM_EU-S64Y;S64Y;R33;POTENTIOMETER;;S64Y
8;10n/50V;C-EUC0603;C0603;C301, C302, C303, C304, C306, C308, C310, C312;CAPACITOR, European symbol;;C0603
4;10p;C-EUC0603;C0603;C111, C121, C131, C141;CAPACITOR, European symbol;;C0603
20;10u/16V;C-EUC0805;C0805;C22, C32, C34, C102, C104, C113, C117, C119, C127, C129, C137, C139, C147, C149, C152, C154, C305, C307, C309, C311;CAPACITOR, European symbol;;C0805
1;15K;R-EU_R0603;R0603;R104;RESISTOR, European symbol;;R0603
4;1N4148;DIODE-SOD123;SOD123;D111, D121, D131, D141;DIODE;;SOD-123
1;1k;R-EU_R0603;R0603;R34;RESISTOR, European symbol;;R0603
1;1k;R-EU_R0805;R0805;R31;RESISTOR, European symbol;;R0805
4;1n/25V;C-EUC0603;C0603;C105, C106, C155, C156;CAPACITOR, European symbol;;C0603
4;24k9;R-EU_R0603;R0603;R101, R107, R151, R157;RESISTOR, European symbol;;R0603
1;2k;R-EU_R0603;R0603;R36;RESISTOR, European symbol;;R0603
4;330R;R-EU_R0603;R0603;R106, R109, R156, R159;RESISTOR, European symbol;;R0603
4;49k4;R-EU_R0805;R0805;R111, R121, R131, R141;RESISTOR, European symbol;;R0805
2;4k7;R-EU_R0603;R0603;R91, R92;RESISTOR, European symbol;;R0603
2;AD8676;AD8676;SO08;IC101, IC151;;;SO-8
4;BAT46W;DIODE-SOD123;SOD123;D101, D102, D151, D152;DIODE;;SOD-123
1;BSS138PS;BSS138PS;SOT363_PHILIPS;T91;BSS138PS  Dual N-CH MOSFET 60V, 320mA, 280mW, SOT363;;SOT-363
4;BU-SMA-GSPECIAL;BU-SMA-GSPECIAL;BU_SMA_3P;X111, X121, X131, X141;FEMALE SMA CONNECTOR;;
1;DNP;R-EU_R0603;R0603;R105;RESISTOR, European symbol;;R0603
17;FBMMZ2012S;FBMMZ2012S;FB2012;L21, L111, L112, L121, L122, L131, L132, L141, L142, L301, L302, L303, L304, L305, L306, L307, L308;FERRITE BEAD;;2012
4;LM334M;LM334M;SO08;IC112, IC122, IC132, IC142;3-Terminal Adjustable Current Sources;;
1;LT1004CLP-2.5;LT1004CLP-2.5;TO92-;IC32;;;TO-92
4;LT1167;LT1167;SO08;IC111, IC121, IC131, IC141;;;SO-8
4;MAX6675ISA;MAX6675ISA;SO08;IC301, IC302, IC303, IC304;;;SO-8
2;MM3Z3V3T1GR;MM3Z3V3T1GR;SOD323-R;D91, D92;;;SOD323
1;NUCLEO_F103_BOT;NUCLEO_F103_BOT;NUCLEO_BRD64_LOWER;U11;;;
1;TL072D;TL072D;SO08;IC31;OP AMP;;SO-8
1;W25Q512JV;W25Q80BVSSIG;SO08W;U1;;;
